Tweet,Date
"A Canadian woman who caused $10 million in damages after driving drunk, crashing into a house and causing an explosion is now suing the concert venue that provided her alcoholic beverages",2023-01-19
"#BREAKING: Numerous Emergency personnel are on the scene to a Massive House explosion one person is missing 

#Gardencity | #kansas

At this time, numerous emergency personnel and other authorities are on the scene in Garden City, Kansas, after a massive house explosion",2024-06-16
"#BREAKING: Multiple emergency crews are on the scene after a significant house explosion occurred with fatalities 

#CrescentTownship | #PA  

Currently, dozens of first responders are on the scene in Crescent Township, Pennsylvania, after a significant house explosion",2024-03-12
"Ce n’est pas le lever du soleil.

C’est l’explosion d’une bombe israélienne au Liban.

Quel genre de bombe peut faire ça??",2024-09-21
"| ÚLTIMA HORA: El globalista y progre George Soros está pagando a ""estudiantes radicales"" que están alimentando la explosión en Estados Unidos de ""protestas que odian a Israel"" Según el NY Post.  ¿Debería estar PRESO Soros y cerrarse su fundación Open Society? Yo digo que si.",2024-04-26
"#BREAKING: Emergency crews are on the scene after multiple oil workers have been injured in an oil rig explosion
#Bradley | #Oklahoma 

Currently, emergency crews are on the scene in Bradley, Oklahoma, after an oil rig caught fire and exploded. Officials report that the",2024-07-08
"TODAY MULTIPLE LARGE ACCOUNTS USED FAKE AI GENERATED IMAGES OF AN EXPLOSION NEAR THE PENTAGON TRYING TO MANIPULATE THE MARKETS 

LIKE @ELONMUSK SAID WE NEED AI REGULATION ASAP",2023-05-22
BREAKING: REPORTS BENJAMIN NETANYAHU CANCELS HIS TRIP TO USA AFTER DRONE EXPLOSION IN TEL AVIV,2024-07-19
" ALERTE - Une importante explosion vient de se produire près d'Oxford, au Royaume-Uni. (témoins)",2023-10-02
THIS LOOKS LIKE WAY MORE THAN JUST A HOUSE EXPLOSION SOMETHING STRANGE IS GOING ON IN VIRGINIA!,2024-02-17
"Shameful & Prejudiced. Denying Prince Harry high level UK security knowing he, Meghan Markle & children face significant death threats because he’s King’s son & they face explosion of bigoted hate which Royal Family is complicit in & does nothing to protect them from is wicked.",2024-02-28
"Tonight’s interview with the man who shot the video you have seen of that massive explosion out of Arlington, VA.

@NSBonsu_ speaking exclusively with him tonight. Watch him at 11pm on @fox5dc",2023-12-05
" How did Hamas BOMB the hospital if their rockets were flying in the opposite direction?

 How did Israel NOT BOMB the hospital if their fighter jet was seen over the hospital during the explosion?

The warpigs are lying to you…",2023-10-18
"JUST IN: Biscuit Basin in Yellowstone National Park has blown up, destroying a nearby boardwalk as tourists could be seen running to safety.

According to Geyser Times, there were no injuries.

A radio report noted: ""First large pool at biscuit basin... large explosion... lots of",2024-07-23
"“Es un ruido muy fuerte, muy profundo. Hay estadios donde también se canta y hay ambiente, pero la explosión de un gol en este estadio va a más allá de lo normal” @sidlowe 

La Copa Imposible @PrimeVideoES",2024-10-17
"Live now!

Hey folks, happy Halloween! Tonight I'm playing the A QUIET PLACE game, thanks to Saber for the copy. I hear this has microphone integration so the monsters will be able to hear me! Come by and say hi, stick around for a spooky scary stream:

http://twitch.tv/caseyexplosion",2024-10-17
" Russia: After a large explosion, Pulkovo International Airport and surrounding residential areas lost electricity and water in Saint Petersburg.",2023-09-24
